Bill Doctor Name	Provider Id	Billing Date	Patient Id	Chart Number	Surname	First name	Health Number	Contact	Sex	DOB	Age On Date	Age Group	Age Sort	Patient MD	Family Doc Id	Family Doc Name	Family Doc Provider Id	Ref Doc Id	Ref Doc Name	Ref Doc Provider Id	Service Date	Service Code	Description	Service Qty	Service Amount	Bill Number	Category	Payment Status	Agency	Roster Description	BILL_ID	Bill Book	WSIB Service	Eligibility Status
"NG, A"	15439	03-Aug-20	57740	 	Blue	Bill	ON3951730773	(343) 999-9999	M	26-Nov-55	64	41-65 years	5	"Muggah, E"	100	"Muggah, E"	15387	0	 	 	02-Aug-20	K081A	Intermediate phone asses >10min	1	36.85	33671	 	Adjusted	MoH	FHO Enrolled	901903	1	N	Valid
"NG, A"	15439	03-Aug-20	35244	 	Green	Mary	BC9721820331	(343) 999-9999	F	29-Oct-93	26	20-40 years	4	"Ehrlich, H"	86	"Ehrlich, H"	60038	0	 	 	01-Aug-20	K081A	Intermediate phone asses >10min	1	36.85	33675	 	None	MoH	Not Enrolled	901909	1	N	NOT Eligible
"Hafizi, R"	37100	03-Aug-20	52928	 	Yellow	Robin	ON6707034317	(343) 999-9999	F	16-Jan-68	52	41-65 years	5	"Rangwala, S"	1408	"Rangwala, S"	22298	1408	"Rangwala, S"	22298	13-Jul-20	A905A	Limited Consult GP	1	72.1	15718	 	Adjusted	MoH	FHO Enrolled	901922	168	N	Valid
"Hafizi, R"	37100	03-Aug-20	36248	 	Red	Bill	QCREDB11040800	(343) 999-9999	M	30-Jun-44	76	66-80 years	6	"Hafizi, R"	1406	"McLaren, M"	19201	0	 	 	31-Jul-20	K080A	Minor Assesment Phone/video	1	23.75	15723	 	None	Other	Not Enrolled	901943	168	N	NOT Eligible
"Hafizi, R"	37100	03-Aug-20	49983	 	Black	Mary	ON7440288319	(343) 999-9999	F	08-Dec-34	85	over 81 years	7	"Hafizi, R"	319217	"Hafizi, R"	37100	0	 	 	31-Jul-20	K081A	Intermediate phone asses >10min	1	36.85	15722	 	Adjusted	MoH	FHO Enrolled	901942	168	N	Valid
"Hafizi, R"	37100	03-Aug-20	61605	 	Brown	Robin	ON9721202027	(343) 999-9999	F	27-Apr-84	36	20-40 years	4	"Crabtree, P"	1401	"Crabtree, P"	10102	0	 	 	30-Jul-20	K081A	Intermediate phone asses >10min	1	36.85	15717	 	Paid	MoH	Inappropriate	901919	168	N	Valid
"Hafizi, R"	37100	03-Aug-20	36475	 	Purple	Bill	ON9613390757	(343) 999-9999	M	09-Jul-55	65	41-65 years	5	"Hafizi, R"	319217	"Hafizi, R"	37100	0	 	 	31-Jul-20	K081A	Intermediate phone asses >10min	1	36.85	15720	 	Adjusted	MoH	FHO Enrolled	901940	168	N	Valid
"Hafizi, R"	37100	03-Aug-20	49984	 	Indigo	Mary	ON3787722572	(343) 999-9999	F	28-Feb-47	73	66-80 years	6	"Hafizi, R"	319217	"Hafizi, R"	37100	0	 	 	31-Jul-20	K082A	Psychotherapy phone 1/2 hr	1	67.75	15721	 	Adjusted	MoH	FHO Enrolled	901941	168	N	Valid
"Hafizi, R"	37100	03-Aug-20	37279	 	Violet	Robin	ON9430649260	(343) 999-9999	F	02-Apr-71	49	41-65 years	5	"Hafizi, R"	319217	"Hafizi, R"	37100	0	 	 	31-Jul-20	K082A	Psychotherapy phone 1/2 hr	1	67.75	15719	 	Adjusted	MoH	FHO Enrolled	901939	168	N	NOT Valid
"Hafizi, R"	37100	03-Aug-20	42532	 	Bayswater	Bill	ON9348351363	(343) 999-9999	M	14-Oct-62	57	41-65 years	5	"Hafizi, R"	319217	"Hafizi, R"	37100	0	 	 	31-Jul-20	K082A	Psychotherapy phone 1/2 hr	2	135.5	15724	 	Adjusted	MoH	FHO Enrolled	901944	168	N	Valid
